Name,Primary Genre,Synopsis,Age Rating,Rating Score,Theatrical Release Year,Director ,Cast,keywords4,,
Awara,Action,"An entertaining movie, with a healthy dose of comedy that follows Surya's journey to woo the love of his life. Watch the full movie on Hoichoi.",U/A 13+,3,2012,Rabi Kinagi,"Jeet, Sayantika, Kharaj Mukherjee","entertaining, movie, healthy, dose, comedy, follows, surya, s, journey, woo, love, life, watch, full, movie, hoichoi",,
Shubho Drishti,Romance,"A story of two brothers, with contrasting personalities. As the elder brother gets married, the younger one looks for a soul mate. A complete family entertainer with a replete sense of emotion and romance. Watch the full movie on Hoichoi.",U,1,2006,Prabhat Roy,"Jeet, Koel, Parambrata Chatterjee","story, two, brothers, contrasting, personalities, elder, brother, gets, married, younger, one, looks, soul, mate, complete, family, entertainer, replete, sense, emotion, romance, watch, full, movie, hoichoi",,
I Love You,Romance,"Rahul is used to the urban ways of life; while Pooja is a simple girl. They meet and love blossoms, breaking stereotypes. Watch the full movie on Hoichoi.",U/A 7+,2,2006,Rabi Kinagi,"Dev, Paayel Sarkar, Tapas Paul","rahul, used, urban, ways, life, pooja, simple, girl, meet, love, blossoms, breaking, stereotypes, watch, full, movie, hoichoi",,
Golemale Pirit Koro Na,Comedy,"Two men fall in love with each other's sisters, leading to mistaken identities that gives this film the comical edge. Watch the full movie on Hoichoi.",U/A 7+,2,2013,Anindya Banerjee,"Jisshu Sengupta, Paayel Sarkar, Ritwick Chakraborty","two, men, fall, love, each, other, s, sisters, leading, mistaken, identities, gives, film, comical, edge, watch, full, movie, hoichoi",,
Yuddho (2005),Action,"Police officer Agnishwar gets convicted in a false case. Will he accept his fate, or fight back? Watch the full movie on Hoichoi.",U/A 13+,3,2005,Rabi Kinagi,"
Jeet, Mithun Chakraborty, Koel","police, officer, agnishwar, gets, convicted, false, case, accept, fate, fight, back, watch, full, movie, hoichoi",,
Anu,Social,"Anu falls in love with Sugata, a political activist. As fate plays with their love for each other, what is in store for them? Watch the full movie on Hoichoi.",U/A 7+,2,1999,Satarupa Sanyal,"Indrani Halder, Nirmalya Bandyopadhyay, Debesh Roychowdhury","anu, falls, love, sugata, political, activist, fate, plays, love, each, other, what, store, watch, full, movie, hoichoi",,
Roudra Chaya,Drama,"The film has been directed by Sachin Adhikari and has Uttam Kumar playing a long-lost son of an industrialist who is brought up in a church, turns into a goon. This film has Anjana Bhowmik, Chhaya Debi, Kamal Mitra, Tarun Kumar and Subrata. Watch the full movie on Hoichoi.",U/A 13+,3,1973,Sachin Adhikary,"Uttam Kumar, Anjana Bhowmick, Bhanu Bandyopadhyay","film, directed, sachin, adhikari, uttam, kumar, playing, long, lost, son, industrialist, who, brought, church, turns, goon, film, anjana, bhowmik, chhaya, debi, kamal, mitra, tarun, kumar, subrata, watch, full, movie, hoichoi",,
Mrinaler Chithi,Drama,"Based on Tagore’s short story, the film revolves around a young bride who writes letters about her experience at her in-laws’. Watch the full movie on Hoichoi.",U,1,2012,Soumya Sarkar,"Juin Sarkar, Sudip Chakraborty, Tapati Bhattacharya","based, tagore, s, short, story, film, revolves, around, young, bride, who, writes, letters, experience, laws, watch, full, movie, hoichoi",,
Refugee.,Action,Shiva finds himself as the saviour of the oppressed. Will he ever be able to reunite with his country and family? Watch the full movie on Hoichoi.,U/A 13+,3,2006,Haranath Chakraborty,"Prosenjit Chatterjee, Rambha, Rajesh Sharma","shiva, finds, himself, saviour, oppressed, ever, able, reunite, country, family, watch, full, movie, hoichoi",,
Go For Goals,Sports,"A sports drama, glorifying Bengali's undying love for football. Go For Goals follows five friends in their journey of life. Watch the full movie on Hoichoi.",U,1,2009,"Ujjal Mitra, Suman Bhattacharya","Kaushik Chakraborty, Kabir Suman, Goutam Sarkar","sports, drama, glorifying, bengali, s, undying, love, football, go, goals, follows, five, friends, journey, life, watch, full, movie, hoichoi",,
Swartho,Drama,"A well-plotted drama, this movie showcases the consequences of greed and ungratefulness. Watch the full movie on Hoichoi.",U,1,2009,Somnath Sen,"Soumitra Chatterjee, Madhabi Mukherjee, Paran Bandopadhyay","well, plotted, drama, movie, showcases, consequences, greed, ungratefulness, watch, full, movie, hoichoi",,
Mon Chaye Tomay,Romance,"A couple wants to settle down, but their families are against their relationship. How will they convince their kins? Watch the full movie on Hoichoi.",U/A 7+,2,2010,Prabir Kar,"Soumitra Chatterjee, Debika Mukherjee, Pamela","couple, wants, settle, families, against, relationship, how, convince, kins, watch, full, movie, hoichoi",,
Ranakshetra,Action,A son of a corrupt minister is a drug pedlar. When a student protests he gets murdered. Can Raja avenge his brother's murder? Watch the full movie on Hoichoi.,U/A 7+,2,1998,Swapan Saha,"Prosenjit Chatterjee, Satabdi Roy, Soumitra Chatterjee","son, corrupt, minister, drug, pedlar, when, student, protests, gets, murdered, raja, avenge, brother, s, murder, watch, full, movie, hoichoi",,
Pran Sajani,Romance,"Wrongly accused of theft, a man is sidelined from the village. Will his fearless daughter succeed in making things right? Watch the full movie on Hoichoi.",U/A 7+,2,1996,Narayan Ghosh,"Tapas Paul, Anju Ghosh, Indrani Halder","wrongly, accused, theft, man, sidelined, village, fearless, daughter, succeed, making, things, right, watch, full, movie, hoichoi",,
Rupban,Drama,"A story about a king though highly adored, is cursed with bad luck for being childless. Will the curse remain forever? Watch the full movie on Hoichoi.",U/A 7+,2,1991,Zillur Rehman,"Tapas Paul, Rozina","story, king, though, highly, adored, cursed, bad, luck, childless, curse, remain, forever, watch, full, movie, hoichoi",,
Mayar Badhon,Drama,Fate separated Shipra and Krishna from their respective daughters during their birth. Will they all re-unite? Watch the full movie on Hoichoi.,U/A 7+,2,1997,Swapan Saha,"Prosenjit Chatterjee, Rituparna Sengupta, Satabdi Roy","fate, separated, shipra, krishna, respective, daughters, during, birth, all, re, unite, watch, full, movie, hoichoi",,
Manush Manusher Janya,Drama,The film showcases the social and economic struggle of the people hailing from different parts in society. Watch the full movie on Hoichoi.,U,1,1998,Niranjan Dey,"Abhishek Chatterjee, Sumitra Mukherjee, Santu Mukherjee","film, showcases, social, economic, struggle, people, hailing, different, parts, society, watch, full, movie, hoichoi",,
Behula Lakhindar,Mythology,"A narrative on Goddess Manasa and her desire to get devoted, that costs mortals Behula and Lakhindar their own lives. Watch the full movie on Hoichoi.",U,1,1991,Amal Dutta,"Abhi Bhattacharya, Tarun Kumar, Mahua Roychoudhury","narrative, goddess, manasa, desire, get, devoted, costs, mortals, behula, lakhindar, own, lives, watch, full, movie, hoichoi",,
Sakhi Tumi Kar,Romance,Sagar falls in love with Sakhi who is a dominant zamindar’s daughter. Will the two ever unite? Watch the full movie on Hoichoi.,U/A 7+,2,1996,Swapan Saha,"Prosenjit Chatterjee, Satabdi Roy, Abhishek Chatterjee","sagar, falls, love, sakhi, who, dominant, zamindar, s, daughter, two, ever, unite, watch, full, movie, hoichoi",,
Dada Thakur,Drama,"Gita tries to reunite with her father while he awaits the return of his younger daughter, from America. Will everyone reunite? Watch the full movie on Hoichoi.",U/A 7+,2,2001,Haranath Chakraborty,"Arpita Pal, Ranjit Mallick, Victor Banerjee","gita, tries, reunite, father, awaits, return, younger, daughter, america, everyone, reunite, watch, full, movie, hoichoi",,
Bhai Amar Bhai,Drama,"After their father's murderer threatens them, three siblings reunite to seek revenge. Will they be successful in their mission? Watch the full movie on Hoichoi.",U/A 7+,2,1996,Swapan Saha,"Prosenjit Chatterjee, Abhishek Chatterjee, Chiranjeet","father, s, murderer, threatens, three, siblings, reunite, seek, revenge, successful, mission, watch, full, movie, hoichoi",,
Nayan Shyama,Drama,"Based on the novel by Shirshendu Mukhopadhyay, the film traces a journey of a couple Nayan and Shyama, who fall in love. Watch the full movie on Hoichoi.",U,1,1983,Nitish Mukherjee,"Ranjit Mallick, Sumitra Mukherjee, Biplab Chatterjee","based, novel, shirshendu, mukhopadhyay, film, traces, journey, couple, nayan, shyama, who, fall, love, watch, full, movie, hoichoi",,
Chitrangada - The Crowning Wish,Drama,"One of Rituparno’s masterpieces, this movie is replete with references from Tagore’s works of - Princess Chitrangada’s story. Watch the full movie on Hoichoi.",A 18+,5,2012,Rituparno Ghosh,"Rituparno Ghosh, Jisshu Sengupta, Raima Sen, Anusua Majumdar, Dipankar Dey","one, rituparno, s, masterpieces, movie, replete, references, tagore, s, works, princess, chitrangada, s, story, watch, full, movie, hoichoi",,
Obhishopto Nighty,Comedy,"A ghost story with elements of fantasy. After Monica is murdered, her soul gets trapped in a pink lacy nighty and she seeks revenge. Watch the full movie on Hoichoi.",A 18+,5,2014,Birsa Dasgupta,"Parambrata Chatterjee, Indraneil Sengupta, Paoli Dam","ghost, story, elements, fantasy, monica, murdered, soul, gets, trapped, pink, lacy, nighty, seeks, revenge, watch, full, movie, hoichoi",,
Royal Bengal Rahasya,Detective,"Feluda is invited by a wealthy Zamindar to crack a puzzle supposedly leading to a hidden treasure, but things go unexpected. Watch the full movie on Hoichoi.",U/A 13+,3,2011,Sandip Ray,"Sabyasachi Chakraborty, Bibhu Bhattacharya, Basudeb Mukherjee","feluda, invited, wealthy, zamindar, crack, puzzle, supposedly, leading, hidden, treasure, things, go, unexpected, watch, full, movie, hoichoi",,
Hemlock Society,Comedy,"Ananda, the founder of Hemlock Society, a school that teaches aspirants how to successfully commit suicide, develops feelings for Meghna, an aspirant, which changes both of their lives.",A 18+,5,2012,Srijit Mukherji,"Parambrata Chattopadhyay, Koel Mallick, Roopa Ganguly, Dipankar Dey","ananda, founder, hemlock, society, school, teaches, aspirants, how, successfully, commit, suicide, develops, feelings, meghna, aspirant, which, changes, both, lives",,
Raincoat (Hindi),Drama,"Manoj is in need of money. As he seeks help from friends, he visits former flame Neerja, who left him to marry a wealthier man. Watch the full movie on Hoichoi.",U/A 7+,2,2004,Rituparno Ghosh,"Aishwarya Rai Bachchan, Ajay Devgan","manoj, need, money, seeks, help, friends, visits, former, flame, neerja, who, left, marry, wealthier, man, watch, full, movie, hoichoi",,
Memories In March,Drama,This is the story of the emotional upheaval of a bereaved mother who has to come to terms with her son's hidden identity after his death. ,U/A 16+,4,2011,Sanjoy Nag,"Rituparno Ghosh, Deepti Naval, Raima Sen","story, emotional, upheaval, bereaved, mother, who, come, terms, son, s, hidden, identity, death",,
Nirbaak,Drama,"Nirbaak is a medley of four tales of silent love, involving one woman (Sushmita), three men (Anjan, Jishu and Ritwick), a tree and a dog.",A 18+,5,2015,Srijit Mukherji,"Sushmita Sen, Anjan Dutt, Jisshu Sengupta","nirbaak, medley, four, tales, silent, love, involving, one, woman, sushmita, three, men, anjan, jishu, ritwick, tree, dog",,
Cinemawala,Drama,"With the advanced technology changing the way movies are distributed to the public, Kamalini, a small town movie theatre is threatened into becoming obsolete.",U/A 7+,2,2016,Kaushik Ganguly,"Paran Bandopadhyay, Parambrata Chatterjee, Sohini Sarkar","advanced, technology, changing, way, movies, distributed, public, kamalini, small, town, movie, theatre, threatened, becoming, obsolete",,
Chotoder Chobi,Drama,"Khoka fights for his friend Shibu, a trapeze artist who is not provided adequate compensation after he meets with an accident. Things get complicated when Khoka falls for Shibu's daughter.",U,1,2015,Kaushik Ganguly,"Dulal Sarkar, Deblina Roy, Pradip Roy","khoka, fights, friend, shibu, trapeze, artist, who, not, provided, adequate, compensation, meets, accident, things, get, complicated, when, khoka, falls, shibu, s, daughter",,
Iti Mrinalini,Drama,"A beautiful transition between two timelines, the film shows the life of Mrinalini, a retired actress, through her memories. Watch the full movie on Hoichoi.",U/A 16+,4,2011,Aparna Sen,"Aparna Sen, Konkona Sen Sharma, Rajat Kapoor, Koushik Sen, Indraneil Sengupta, Saheb Bhattacherjee","beautiful, transition, two, timelines, film, shows, life, mrinalini, retired, actress, memories, watch, full, movie, hoichoi",,
Jamai 420,Comedy,Three couples are forced to do a lot of insane things in order to deceive their fathers and father-in-laws. Watch the full movie on Hoichoi.,A 18+,5,2015,Rabi Kinagi,"Ankush, Soham, Paayel Sarkar, Hiraan, Nusrat Jahan, Mimi Chakraborty","three, couples, forced, lot, insane, things, order, deceive, fathers, father, laws, watch, full, movie, hoichoi",,
Roga Howar Sahoj Upay,Comedy,"As she starts gaining weight, Ranjana feels distressed that her husband will stop loving her. Can she win over herself? Watch the full movie on Hoichoi.",U/A 16+,4,2015,Debaloy Bhattacharya,"Parambrata Chatterjee, Riya Sen, Raima Sen","starts, gaining, weight, ranjana, feels, distressed, husband, stop, loving, win, herself, watch, full, movie, hoichoi",,
Parbo Na Aami Chartey Toke,Drama,A love-filled take on romance that embraces two young people despite the oddities. Will love overcome the obstacles? Watch the full movie on Hoichoi.,U/A 7+,2,2015,Raj Chakraborty,"Bonny Sengupta, Koushani, Kharaj Mukherjee","love, filled, take, romance, embraces, two, young, people, despite, oddities, love, overcome, obstacles, watch, full, movie, hoichoi",,
Prem Amaar,Romance,A local rowdy falls in love with his new neighbour Riya who’s already betrothed to Rajib. Which path will Riya choose? Watch the full movie on Hoichoi.,U/A 13+,3,2009,Raj Chakraborty,"Soham, Paayel Sarkar, Biswajit Chakraborty","local, rowdy, falls, love, new, neighbour, riya, who, s, already, betrothed, rajib, which, path, riya, choose, watch, full, movie, hoichoi",,
Kalpurush,Drama,"Depicting two simultaneous timelines with a gripping cinematography and a powerful cast, this is a story of a father-son relationship. Rahul relives his childhood memories with his father Mithun Chakraborty, talking about his dysfunctional marriage to Sameera Reddy. Watch the full movie on Hoichoi.",U/A 7+,2,2005,Buddhadeb Dasgupta,"Mithun Chakraborty, Rahul Bose, Sameera Reddy","depicting, two, simultaneous, timelines, gripping, cinematography, powerful, cast, story, father, son, relationship, rahul, relives, childhood, memories, father, mithun, chakraborty, talking, dysfunctional, marriage, sameera, reddy, watch, full, movie, hoichoi",,
